x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
-2.489324873,-3.236296802,-3.963242162,-2.020283319,-4.074570182,-2.794826234,-1.785774291,-2.345846434,-4.68057952,-3.406442868,-1.371211454,-2.163181727,-2.2000814,-0.817334204,-2.909287941,-2.077986045,-2.061548168,-2.731070367,-3.642315538,-3.226229817,-2.691259728,-2.673315861,-3.993826436,-3.991023417,-2.923245613,3.135130494,2.61848889,2.136695251,3.700647975,2.782374863,3.274448277,1.793009902,1.743403928,3.854451974,2.961457433,1.522166074,3.740391837,4.410174041,5.470240301,2.832743735,3.989264998,2.768975,2.644306295,3.043878122,2.860416289,2.746159107,0.653274496,3.441447449,2.205450375,3.539244603
0.007819049,0.007819052,0.007819056,0.007819047,0.007819057,0.00781905,0.007819046,0.007819048,0.007819061,0.007819053,0.007819045,0.007819048,0.007819048,0.007819045,0.007819051,0.007819047,0.007819047,0.00781905,0.007819054,0.007819052,0.00781905,0.007819049,0.007819056,0.007819056,0.007819051,0.007819052,0.00781905,0.007819048,0.007819056,0.007819051,0.007819053,0.007819047,0.007819047,0.007819057,0.007819052,0.007819046,0.007819056,0.007819061,0.00781907,0.007819051,0.007819058,0.007819051,0.00781905,0.007819052,0.007819051,0.00781905,0.007819044,0.007819054,0.007819048,0.007819055
0.108676065,0.108675893,0.108675678,0.108676149,0.108675642,0.108676,0.108676184,0.108676092,0.108675421,0.108675847,0.108676235,0.108676125,0.108676119,0.108676281,0.108675974,0.108676139,0.108676142,0.108676014,0.108675779,0.108675895,0.108676023,0.108676027,0.108675668,0.108675669,0.108675971,0.108675877,0.108676004,0.108676103,0.108675709,0.108675966,0.108675838,0.108676161,0.108676168,0.108675659,0.108675922,0.108676199,0.108675696,0.108675457,0.108674989,0.108675954,0.108675613,0.10867597,0.108675999,0.108675901,0.108675948,0.108675975,0.108676282,0.10867579,0.10867609,0.10867576
0.007819048,0.007819052,0.007819057,0.007819046,0.007819058,0.007819049,0.007819045,0.007819047,0.007819064,0.007819053,0.007819044,0.007819046,0.007819047,0.007819043,0.00781905,0.007819046,0.007819046,0.007819049,0.007819055,0.007819052,0.007819049,0.007819049,0.007819058,0.007819058,0.00781905,0.007819052,0.007819049,0.007819047,0.007819057,0.00781905,0.007819053,0.007819046,0.007819046,0.007819058,0.007819051,0.007819045,0.007819057,0.007819063,0.007819078,0.007819051,0.007819059,0.00781905,0.007819049,0.007819052,0.007819051,0.00781905,0.007819043,0.007819055,0.007819047,0.007819055
0.108676108,0.108675897,0.108675618,0.108676207,0.108675568,0.10867603,0.108676248,0.108676141,0.108675258,0.108675838,0.108676307,0.10867618,0.108676172,0.108676359,0.108675998,0.108676197,0.1086762,0.108676047,0.108675751,0.1086759,0.108676058,0.108676062,0.108675605,0.108675606,0.108675994,0.108675877,0.108676035,0.108676153,0.108675659,0.108675989,0.108675827,0.108676221,0.10867623,0.108675592,0.108675934,0.108676266,0.108675642,0.108675311,0.10867459,0.108675974,0.108675529,0.108675993,0.108676028,0.108675907,0.108675965,0.108675999,0.10867636,0.108675765,0.108676138,0.108675726
0.007819047,0.007819052,0.007819059,0.007819044,0.00781906,0.007819049,0.007819044,0.007819046,0.007819069,0.007819053,0.007819042,0.007819045,0.007819045,0.007819041,0.007819049,0.007819045,0.007819045,0.007819048,0.007819055,0.007819052,0.007819048,0.007819048,0.007819059,0.007819059,0.007819049,0.007819052,0.007819048,0.007819046,0.007819058,0.00781905,0.007819053,0.007819044,0.007819044,0.00781906,0.007819051,0.007819043,0.007819058,0.007819067,0.007819091,0.00781905,0.007819061,0.007819049,0.007819049,0.007819051,0.00781905,0.007819049,0.007819041,0.007819055,0.007819046,0.007819056
0.108676168,0.108675911,0.108675546,0.108676284,0.108675477,0.108676075,0.108676331,0.108676207,0.108675027,0.108675837,0.108676396,0.108676252,0.108676243,0.108676454,0.108676036,0.108676272,0.108676275,0.108676096,0.108675723,0.108675915,0.108676108,0.108676114,0.108675527,0.108675529,0.108676031,0.108675885,0.108676081,0.108676221,0.108675602,0.108676025,0.108675823,0.1086763,0.10867631,0.108675509,0.108675957,0.108676351,0.108675578,0.108675107,0.108673897,0.108676006,0.108675422,0.10867603,0.108676073,0.108675924,0.108675996,0.108676038,0.108676455,0.108675742,0.108676204,0.108675691
0.007819045,0.007819051,0.00781906,0.007819042,0.007819062,0.007819047,0.007819041,0.007819044,0.007819076,0.007819053,0.00781904,0.007819043,0.007819043,0.007819039,0.007819048,0.007819043,0.007819043,0.007819047,0.007819056,0.007819051,0.007819046,0.007819046,0.007819061,0.007819061,0.007819048,0.007819052,0.007819047,0.007819044,0.007819059,0.007819048,0.007819053,0.007819042,0.007819042,0.007819061,0.00781905,0.007819041,0.00781906,0.007819073,0.007819119,0.007819049,0.007819064,0.007819048,0.007819047,0.007819051,0.007819049,0.007819048,0.007819039,0.007819055,0.007819044,0.007819057
0.108676258,0.108675948,0.108675466,0.10867639,0.10867537,0.108676149,0.108676442,0.108676303,0.108674683,0.108675855,0.108676514,0.108676354,0.108676344,0.108676576,0.108676102,0.108676376,0.10867638,0.108676173,0.108675707,0.108675953,0.108676188,0.108676195,0.10867544,0.108675443,0.108676096,0.108675916,0.108676156,0.108676319,0.108675543,0.108676088,0.108675837,0.108676408,0.108676419,0.108675415,0.108676006,0.108676464,0.108675512,0.108674812,0.108672469,0.108676066,0.108675291,0.108676094,0.108676146,0.108675964,0.108676053,0.108676104,0.108676578,0.108675731,0.108676299,0.108675664
0.007819042,0.007819049,0.007819061,0.007819039,0.007819064,0.007819044,0.007819038,0.007819041,0.007819086,0.007819051,0.007819036,0.00781904,0.00781904,0.007819035,0.007819045,0.007819039,0.007819039,0.007819044,0.007819055,0.007819049,0.007819043,0.007819043,0.007819062,0.007819062,0.007819045,0.00781905,0.007819044,0.00781904,0.007819059,0.007819046,0.007819052,0.007819039,0.007819038,0.007819063,0.007819047,0.007819037,0.00781906,0.007819081,0.007819201,0.007819046,0.007819066,0.007819045,0.007819044,0.007819048,0.007819046,0.007819045,0.007819035,0.007819054,0.007819041,0.007819056
